nombre_estacion,id_comuna
SARANDI,14
PLAZA GARAY,14
SOLIS Y ALSINA,14
ADUANA,14
BALCARCE,14
UADE,14
RESERVA ECOLOGICA,14
PLAZA RICARDO LLERAS,14
CLAUDIA PIA BRAUDACCO,14
EMMA DE LA BARRA,14
MADERO OFFICE,14
CENTRO CULTURAL SAN MARTIN,14
JORGELINA DE SIMONE,14
093 - CARLOS CALVO,14
010 - MADERO UCA,14
037 - CLAUDIA PIA BRAUDACCO,14
024 - ALSINA,14
034 - COLONIA EXPRESS,14
147 - CONSTITUCIÓN,14
117 - HUMBERTO 1°,14
111 - MACACHA GUEMES,14
174 - MINISTERIO DE EDUCACION,14
141 - SOLIS Y ALSINA,14
063 - RECONQUISTA,14
244 - UADE,14
373 - JORGELINA DE SIMONE,14
173 - PLAZA CECILIA GRIERSON,14
022 - ARENALES,14
149 - LIMA,14
112 - 9 DE JULIO,14
168 - ESTADOS UNIDOS,14
083 - PARANÁ,14
081 -BALCARCE,14
046 - CHILE,14
095 - ESMERALDA,14
355 - PLAZA RICARDO LLERAS,14
077 - SARANDI,14
400 - RESERVA ECOLOGICA,14
128 - PARQUE DEL BAJO,14
008 - CONGRESO,14
195 - PLAZA GARAY,14
071 - CERRITO,14
038 - PLAZA LIBERTAD,14
175 - ESMERALDA Y CORRIENTES,14
068 - RIVAROLA,14
060 - 25 DE MAYO,14
184 - PEDRO ECHAGUE,14
183 - VIRREY CEVALLOS,14
191 - RIVADAVIA Y 9 DE JULIO,14
001 - FACULTAD DE DERECHO,14
328 - CENTRO CULTURAL SAN MARTIN,14
150 - VERA PEÑALOZA,14
072 - VENEZUELA,14
018 - INDEPENDENCIA,14
027 - MONTEVIDEO,14
023 - SUIPACHA,14
192 - TALCAHUANO,14
237 - MADERO OFFICE,14
152 - JULIETA LANTERI,14
079 - AZUCENA VILLAFLOR,14
019 - PLAZA SAN MARTIN,14
062 - CÓRDOBA,14
042 - DIAGONAL NORTE,14
045 - URUGUAY,14
003 - ADUANA,14
061-MINISTERIO DE ECONOMIA,14
004 - PLAZA ROMA,14
047 - COLEGIO NACIONAL DE BUENOS AIRES,14
151 - AIME PAINÉ,14
130 - RETIRO II,14
016 - LEGISLATURA,14
036 - MAIPÚ,14
032 - CATEDRAL,14
048 - PERÓN,14
164 - FACULTAD DE INGENERIA,14
039 - CONGRESO II,14
011 - TRIBUNALES,14
137 - AZOPARDO Y CHILE,14
007 - OBELISCO,14
132 - CORRIENTES,14
135 - MARCELO T. DE ALVEAR,14
078 - SUIPACHA Y ARROYO,14
002 - RETIRO I,14
326 - EMMA DE LA BARRA,14
057 - BELGRANO,14
015 - JUANA MANSO II,14
098 - BELGRANO Y ROCA,14
055 - BOUCHARD,14
026 - JUANA MANSO I,14
051 - TUCUMAN,14
334 - CENTRO DE EXPOSICIONES,14
040 - SARMIENTO,14
114 - DELLA PAOLERA,14
053 - RICARDO ROJAS,14
035 - INGENIERO BUTTY,14
150 - RODRIGO BUENO,14
PLAZOLETA CELEDONIO FLORES,15
LA PAMPA,15
PASEO DE LAS AMERICAS,15
CIUDAD DE LA PAZ,15
QUINTEROS LIDORO,15
SUCRE Y DRAGONES,15
PLAZA ZAPIOLA,15
PLAZA NORUEGA,15
BARRANCAS DE BELGRANO,15
UNIVERSIDAD DI TELLA,15
PLAZOLETA PORTUGAL,15
HUSARES,15
PLAZA RAFAEL HERNANDEZ,15
PLAZA REPÚBLICA DE MEXICO,15
UDAONDO,15
PLAZA CASTELLI,15
RIVERA,15
MONTAÑESES,15
COLEGIALES,15
PLAZA J.J. PASO,15
PARQUE DE LA MEMORIA,15
LARRALDE,15
ECHEVERRIA,15
ARRIBEÑOS,15
CIUDAD UNIVERSITARIA I,15
CIUDAD UNIVERSITARIA II,15
CIUDAD UUNIVERSITARIA III,15
PLAZA ALBERTI,15
FLENI,15
CERO MÁS INFINITO,15
PLAZA LUCIO DEMARE,15
11 DE SEPTIEMBRE,15
PLAZA BALCARCE,15
PLAZA FRANCISCO RAMIREZ,15
PLAZOLETA RAFAEL DEL RIEGO,15
PLAZA COLEGIALES,15
GREGORIA PEREZ,15
CLUB CIUDAD DE BUENOS AIRES,15
SUCRE Y MARTINEZ,15
336 - LA PAMPA,15
238 - RIVERA,15
396 - PLAZA ALBERTI,15
310 - GREGORIA PEREZ,15
359 - PLAZA BALCARCE,15
227 -CLUB CIUDAD DE BUENOS AIRES,15
242 - PLAZOLETA RAFAEL DEL RIEGO,15
258 - PLAZA J.J. PASO,15
245 - ARRIBEÑOS,15
389 - PLAZA REPÚBLICA DE MEXICO,15
255 - BARRANCAS DE BELGRANO,15
243 - PLAZOLETA CELEDONIO FLORES,15
289 - MONTAÑESES,15
288- 11 DE SEPTIEMBRE,15
346 - PLAZA ZAPIOLA,15
295 - LARRALDE,15
257 - PLAZA FRANCISCO RAMIREZ,15
369 - CIUDAD DE LA PAZ,15
240 - ECHEVERRIA,15
338 - SUCRE Y DRAGONES,15
235 - COLEGIALES,15
253 - PLAZA COLEGIALES,15
256 - PLAZA NORUEGA,15
371 - PASEO DE LAS AMERICAS,15
247 - PLAZA LUCIO DEMARE,15
250 - FLENI,15
254 - PLAZA RAFAEL HERNANDEZ,15
377 - CIUDAD UNIVERSITARIA III,15
261 - QUINTEROS LIDORO,15
248 - HUSARES,15
376 - CIUDAD UNIVERSITARIA II,15
332 - PLAZOLETA PORTUGAL,15
259 - PLAZA CASTELLI,15
362 - PARQUE DE LA MEMORIA,15
232 - SUCRE Y MARTINEZ,15
344 - UNIVERSIDAD DI TELLA,15
363 - UDAONDO,15
317 - CERO MÁS INFINITO,15
375 - CIUDAD UNIVERSITARIA I,15
179 - LA BOCA,13
LA BOCA,13
179 - CASA SAN,13
HIPÃ“LITO YRIGOYEN,2
037- CLAUDIA PÍA BRAUDACCO,14
378 - AGRONOMIA,11
197 - PLAZA CIUDAD DE UDINE,6
354 - JOSÉ MARTÍ,4
367 - EVA PERÓN,5
BALBOA DEFINITIVO,11
